sampledate,layer,tp,,,,,,,
8/6/2012,epi,14.925608361914094,,,,,,,
8/20/2012,epi,18.69034134394612,,,,,,,
9/4/2012,epi,19.365752082312593,,,,,,,
10/1/2012,epi,170.97428139183057,,,,,,,
5/14/2013,epi,68.06151782292066,,,,,,,
5/28/2013,epi,58.34803201045239,,,,,,,
6/10/2013,epi,46.51495162708883,,,,,,,
6/24/2013,epi,37.86061759729272,,,,,,,
7/8/2013,epi,34.09879264085857,,,,,,,
7/22/2013,epi,30,,,,,,,
8/5/2013,epi,39.219129287598946,,,,,,,
8/21/2013,epi,20,,,,,,,
9/4/2013,epi,21.25241864555849,,,,,,,
9/30/2013,epi,109.0240023,,,,,,,
5/14/2014,epi,80.94308035714286,,,,,,,
5/28/2014,epi,NA,,,,,,,
6/9/2014,epi,53.445945945945944,,,,,,,
6/23/2014,epi,30,,,,,,,
7/7/2014,epi,39.34168781725889,,,,,,,
7/21/2014,epi,NA,,,,,,,
8/4/2014,epi,29.579628210042163,,,,,,,
8/20/2014,epi,30,,,,,,,
9/2/2014,epi,23.576678098971094,,,,,,,
9/28/2014,epi,NA,,,,,,,
5/1/2015,epi,74.31688386354925,,,,,,,
5/13/2015,epi,70.49104062859332,,,,,,,
5/27/2015,epi,55.18283521149763,,,,,,,
6/8/2015,epi,55.908346109620545,,,,,,,
6/23/2015,epi,53.82207563764292,,,,,,,
7/8/2015,epi,41.37202951322346,,,,,,,
7/20/2015,epi,NA,,,,,,,
8/3/2015,epi,34.00712401055409,,,,,,,
8/18/2015,epi,22.17792436235708,,,,,,,
8/31/2015,epi,29.621427404866896,,,,,,,
10/7/2015,epi,132.42873831775702,,,,,,,
4/25/2016,epi,50.402916073968704,,,,,,,
5/11/2016,epi,59.440355696934645,,,,,,,
5/23/2016,epi,52.25732104121475,,,,,,,
6/7/2016,epi,42.97441548,,,,,,,
6/20/2016,epi,24.38769643541587,,,,,,,
7/5/2016,epi,30.9506995,,,,,,,
7/18/2016,epi,22.806151782292066,,,,,,,
8/1/2016,epi,18.862543119969338,,,,,,,
8/15/2016,epi,15.601319261213721,,,,,,,
8/30/2016,epi,43.54265611257696,,,,,,,
10/4/2016,epi,117.04322429906541,,,,,,,
11/9/2016,epi,91.53724769319493,,,,,,,
4/17/2017,epi,99.86674370514535,,,,,,,
5/15/2017,epi,72.25316213108471,,,,,,,
5/30/2017,epi,92.10734997478568,,,,,,,
6/12/2017,epi,70.99614001692048,,,,,,,
6/26/2017,epi,66.30965865605388,,,,,,,
7/10/2017,epi,50.69107299912049,,,,,,,
7/24/2017,epi,46,,,,,,,
8/7/2017,epi,41.413441123632204,,,,,,,
8/23/2017,epi,32.84517067197306,,,,,,,
9/6/2017,epi,42.981789444749865,,,,,,,
9/25/2017,epi,23.71169744942832,,,,,,,
10/4/2017,epi,181.7570093457944,,,,,,,
5/7/2018,epi,96.61171367,,,,,,,
5/14/2018,epi,102.19499224236485,,,,,,,
5/29/2018,epi,81.96407767,,,,,,,
6/11/2018,epi,68.47747747747748,,,,,,,
6/25/2018,epi,70.35332064,,,,,,,
7/9/2018,epi,37.92253595600677,,,,,,,
7/23/2018,epi,38.641814720812185,,,,,,,
8/6/2018,epi,22.989363740896895,,,,,,,
8/22/2018,epi,24.82207563764292,,,,,,,
9/4/2018,epi,27.239841688654355,,,,,,,
9/19/2018,epi,32.22075638,,,,,,,
10/2/2018,epi,113.88432620011568,,,,,,,
10/18/2018,epi,82.76118522016291,,,,,,,
5/12/2019,epi,NA,,,,,,,
5/28/2019,epi,NA,,,,,,,
6/11/2019,epi,NA,,,,,,,
6/24/2019,epi,NA,,,,,,,
7/8/2019,epi,NA,,,,,,,
7/22/2019,epi,NA,,,,,,,
8/5/2019,epi,NA,,,,,,,
9/4/2019,epi,NA,,,,,,,
10/4/2019,epi,NA,,,,,,,
5/7/2020,epi,NA,,,,,,,
5/15/2020,epi,NA,,,,,,,
6/2/2020,epi,NA,,,,,,,
6/12/2020,epi,NA,,,,,,,
6/24/2020,epi,NA,,,,,,,
7/8/2020,epi,NA,,,,,,,
7/22/2020,epi,NA,,,,,,,
8/6/2020,epi,NA,,,,,,,
8/20/2020,epi,NA,,,,,,,
9/2/2020,epi,NA,,,,,,,
9/18/2020,epi,NA,,,,,,,
10/8/2020,epi,NA,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
